Temporada,Torneo,Pos,Jugador,Club,G,MJ
2017-2018,Clausura,31,Maritza Dardane Maldonado,Atlas,4,838
2017-2018,Clausura,32,Ana Rosa García,Atlas,4,1007
2017-2018,Clausura,33,Dorian Montserrat Hernández,América,3,593
2017-2018,Clausura,34,Estefanía Fuentes,América,3,705
2017-2018,Clausura,35,Lydia Nayeli Rangel,Tigres,3,585
2017-2018,Clausura,36,Lizbeth Jacqueline Ovalle,Tigres,3,672
2017-2018,Clausura,37,Liliana Mercado,Tigres,3,937
2017-2018,Clausura,38,Nancy Guadalupe Antonio,Tigres,3,985
2017-2018,Clausura,39,María Guadalupe Velázquez,Guadalajara,3,470
2017-2018,Clausura,40,Ana Karen López,Pumas,3,1170
2017-2018,Clausura,41,Ixzayana Viveros,Veracruz,3,1260
2017-2018,Clausura,42,Andrea Guadalupe Romero,Querétaro,3,469
2017-2018,Clausura,43,Rosa Iris Aguiar,Tijuana,3,1249
2017-2018,Clausura,44,Joselyn De La Rosa,León,3,1111
2017-2018,Clausura,45,Mayra Alejandra Santana,Atlas,3,1191
2017-2018,Clausura,46,Dalia Isabel Molina,M. Morelia,3,1087
2017-2018,Clausura,47,Selena Carolina Castillo,Rayadas,2,1203
2017-2018,Clausura,48,Marylin Viridiana Díaz,América,2,1170
2017-2018,Clausura,49,María Fernanda Elizondo,Tigres,2,447
2017-2018,Clausura,50,Daniela Carrandi,Guadalajara,2,350
2017-2018,Clausura,51,Priscila Guadalupe Padilla,Guadalajara,2,854
2017-2018,Clausura,52,Norma Luz Irene Duarte,Guadalajara,2,868
2017-2018,Clausura,53,Karla Guadalupe López,Toluca,2,505
2017-2018,Clausura,54,Kenya Téllez,Toluca,2,1039
2017-2018,Clausura,55,Liliana Rodríguez,Toluca,2,1080
2017-2018,Clausura,56,Berenice Muñoz,Pachuca,2,555
2017-2018,Clausura,57,Jaquelín García,Pachuca,2,855
2017-2018,Clausura,58,Karla Paola Nieto,Pachuca,2,990
2017-2018,Clausura,59,Karime Abud,Pumas,2,642
2017-2018,Clausura,60,Dania Belén Padilla,Pumas,2,715
2017-2018,Clausura,61,Daniela Itzaxaya García,Pumas,2,832
2017-2018,Clausura,62,Nataly Ávila,Pumas,2,993
2017-2018,Clausura,63,Daniela Delgado,Santos Laguna,2,547
2017-2018,Clausura,64,Joseline Andrea Hernández,Santos Laguna,2,608
2017-2018,Clausura,65,Yahaira Esmeralda Flores,Santos Laguna,2,898
2017-2018,Clausura,66,Melissa Aideé Sosa,Santos Laguna,2,1079
2017-2018,Clausura,67,Magaly Cortés,Veracruz,2,1074
2017-2018,Clausura,68,Luz María Ruíz,Querétaro,2,890
2017-2018,Clausura,69,Sharon Andrea Barba,Cruz Azul,2,887
2017-2018,Clausura,70,Inglis Yoana Hernández,Tijuana,2,336
2017-2018,Clausura,71,Samantha Arellano,Tijuana,2,1107
2017-2018,Clausura,72,Juana Trinidad Ovalle,Necaxa,2,702
2017-2018,Clausura,73,Ana Gabriela Huerta,Necaxa,2,822
2017-2018,Clausura,74,Cristina Montserrat Muro,Necaxa,2,1134
2017-2018,Clausura,75,Brenda Esmeralda Díaz,León,2,736
2017-2018,Clausura,76,Fanny Lizeth Grano,Atlas,2,1219
2017-2018,Clausura,77,Karla Yolanda Jiménez,M. Morelia,2,922
2017-2018,Clausura,78,Eleisa Santos,M. Morelia,2,1241
2017-2018,Clausura,79,Victoria López,Rayadas,1,277
2017-2018,Clausura,80,Valeria Valdez,Rayadas,1,1105
2017-2018,Clausura,81,Mariana Cadena,Rayadas,1,1260
2017-2018,Clausura,82,Edna Fabiola Santamaria,América,1,602
2017-2018,Clausura,83,Esmeralda Verdugo,América,1,754
2017-2018,Clausura,84,Diana Izbeth Fierro,América,1,783
2017-2018,Clausura,85,Ana Gabriela Lozada,América,1,1170
2017-2018,Clausura,86,Jazmín Enrigue,Tigres,1,450
2017-2018,Clausura,87,Blanca María Solís,Tigres,1,520
2017-2018,Clausura,88,Karen Irasema Luna,Tigres,1,1109
2017-2018,Clausura,89,Anette Natalia Vázquez,Guadalajara,1,348
2017-2018,Clausura,90,Susan Yanet Bejarano,Guadalajara,1,754
2017-2018,Clausura,91,Maritza Miranda,Toluca,1,880
2017-2018,Clausura,92,Andrea Hernández,Toluca,1,945
2017-2018,Clausura,93,Yamile Azenek Franco,Pachuca,1,270
2017-2018,Clausura,94,Diana Laura García,Pachuca,1,646
2017-2018,Clausura,95,Karen Alejandra Díaz,Pachuca,1,833
2017-2018,Clausura,96,Karen Itzayana Gómez,Pachuca,1,962
2017-2018,Clausura,97,Hireri Velázquez,Pumas,1,327
2017-2018,Clausura,98,Ricla Rajunov,Pumas,1,1260
2017-2018,Clausura,99,Grecia Stephanie Ruiz,Santos Laguna,1,180
2017-2018,Clausura,100,Brenda Alejandra Guevara,Santos Laguna,1,1026
2017-2018,Clausura,101,Karla Fernanda Estrada,Veracruz,1,570
2017-2018,Clausura,102,Dania Itzel Rivera,Veracruz,1,633
2017-2018,Clausura,103,Noemí Granados,Veracruz,1,1022
2017-2018,Clausura,104,Alejandra Soriano,Veracruz,1,1055
2017-2018,Clausura,105,Zaira Ibeth Fortis,Veracruz,1,1145
2017-2018,Clausura,106,Valeria Reza,Querétaro,1,105
2017-2018,Clausura,107,Daniela Auza,Querétaro,1,385
2017-2018,Clausura,108,María Isabella Moreno,Querétaro,1,744
2017-2018,Clausura,109,Ixchebel Tamara Romero,Querétaro,1,810
2017-2018,Clausura,110,Lucero Zavala,Querétaro,1,856
2017-2018,Clausura,111,Alejandra Zoe Tapia,Querétaro,1,1118
2017-2018,Clausura,112,Lorena Rangel,Querétaro,1,1232
2017-2018,Clausura,113,Karla Carolina Hernández,Cruz Azul,1,55
2017-2018,Clausura,114,Flor Rocío Rodríguez,Cruz Azul,1,242
2017-2018,Clausura,115,Daniela Michel Dávila,Cruz Azul,1,296
2017-2018,Clausura,116,Gabriela Aline Guevara,Cruz Azul,1,742
2017-2018,Clausura,117,Martha Natalia Enciso,Cruz Azul,1,751
2017-2018,Clausura,118,Silvia Yuzara López,Cruz Azul,1,1105
2017-2018,Clausura,119,Reyna Sabina Velázquez,Cruz Azul,1,1198
2017-2018,Clausura,120,Layzha Alejandra García,Tijuana,1,302
2017-2018,Clausura,121,María Cristina Juárez,Tijuana,1,313
2017-2018,Clausura,122,Arlina Karime Montes,Tijuana,1,410
2017-2018,Clausura,123,Sheila Odeth Pulido,Tijuana,1,920
2017-2018,Clausura,124,Claudia Magdalena Sánchez,Necaxa,1,494
2017-2018,Clausura,125,Analí Zarate,Necaxa,1,704
2017-2018,Clausura,126,Iran Michelle Medina,Necaxa,1,993
2017-2018,Clausura,127,Andrea Magdalena Villalobos,Necaxa,1,1260
2017-2018,Clausura,128,Jessica Noemí Cuellar,León,1,422
2017-2018,Clausura,129,Damaris Michel Godínez,León,1,1260
2017-2018,Clausura,130,Natalia María Duarte,Atlas,1,696
2017-2018,Clausura,131,Marcela Valera,Atlas,1,1170
2017-2018,Clausura,132,Mónica Villaseñor,M. Morelia,1,821
