Temporada,Torneo,Pos,Jugador,Club,G,MJ
2018-2019,Apertura,128,Roxana Torres,Veracruz,1,298
2018-2019,Apertura,129,Paloma Sugey Velázquez,Veracruz,1,755
2018-2019,Apertura,130,Diana Verónica Jiménez,Veracruz,1,1049
2018-2019,Apertura,131,Ixzayana Viveros,Veracruz,1,1080
2018-2019,Apertura,132,Lissete Aline Mata,Veracruz,1,1081
2018-2019,Apertura,133,Zaira Ibeth Fortis,Veracruz,1,1112
2018-2019,Apertura,134,Wendy Yamileth Morales,Veracruz,1,1350
2018-2019,Apertura,135,Mitzy Nataly Ortega,Tijuana,1,650
2018-2019,Apertura,136,Karen Miroslava Maprigat,Tijuana,1,731
2018-2019,Apertura,137,Samantha Arellano,Tijuana,1,1440
2018-2019,Apertura,138,Alondra Karime Camargo,Tijuana,1,1440
2018-2019,Apertura,139,Liliana Guadalupe Godoy,Cruz Azul,1,287
2018-2019,Apertura,140,Daniela Yunuet Fuentes,Cruz Azul,1,579
2018-2019,Apertura,141,Martha Natalia Enciso,Cruz Azul,1,717
2018-2019,Apertura,142,Itzel Cruz,Cruz Azul,1,1263
2018-2019,Apertura,143,Daniela Janet Monroy,Cruz Azul,1,1271
2018-2019,Apertura,144,Olga Anahí Trasviña,Santos Laguna,1,286
2018-2019,Apertura,145,Alexxandra Ramírez,Santos Laguna,1,804
2018-2019,Apertura,146,Daniela Delgado,Santos Laguna,1,865
2018-2019,Apertura,147,Brenda Alejandra Guevara,Santos Laguna,1,1316
2018-2019,Apertura,148,Iran Michelle Medina,Necaxa,1,746
2018-2019,Apertura,149,Andrea Sofía Castellanos,Necaxa,1,898
2018-2019,Apertura,150,Claudia Magdalena Sánchez,Necaxa,1,952
2018-2019,Apertura,151,Melissa Janeth Garcia,Necaxa,1,1076
2018-2019,Apertura,152,Andrea Magdalena Villalobos,Necaxa,1,1135
