Temporada,Torneo,Pos,Jugador,Club,G,MJ
2020-2021,Clausura,31,Daniela Carrandi,Atlético de San Luis,4,1322
2020-2021,Clausura,32,Blanca María Solís,Tigres,3,265
2020-2021,Clausura,33,Lizbeth Jacqueline Ovalle,Tigres,3,532
2020-2021,Clausura,34,María Guadalupe Sánchez,Tigres,3,1417
2020-2021,Clausura,35,Anette Natalia Vázquez,Guadalajara,3,995
2020-2021,Clausura,36,Marcia Paola García,Atlas,3,821
2020-2021,Clausura,37,Dinora Lizeth Garza,Pumas,3,1111
2020-2021,Clausura,38,Daniela Itzaxaya García,Pumas,3,1250
2020-2021,Clausura,39,Mayra Alejandra Pelayo-bernal,América,3,763
2020-2021,Clausura,40,Dorian Montserrat Hernández,América,3,1242
2020-2021,Clausura,41,Eva Beatriz González,América,3,1347
2020-2021,Clausura,42,Janelly Farias,América,3,1350
2020-2021,Clausura,43,Alexia Nayeli Villanueva,Santos Laguna,3,943
2020-2021,Clausura,44,Rosa Iris Aguiar,Tijuana,3,811
2020-2021,Clausura,45,Magaly Cortés,Mazatlán FC,3,1368
2020-2021,Clausura,46,Casandra Montero,Mazatlán FC,3,1512
2020-2021,Clausura,47,Yazmin Araceli Álvarez,León,3,1361
2020-2021,Clausura,48,Sonia Vázquez,León,3,1475
2020-2021,Clausura,49,Estefany Elizabeth Hernández,Necaxa,3,654
2020-2021,Clausura,50,Stephanie Baz,Necaxa,3,1194
2020-2021,Clausura,51,Paola Estefanía Alemán,Atlético de San Luis,3,754
2020-2021,Clausura,52,Isabel Kasis,Atlético de San Luis,3,1214
2020-2021,Clausura,53,Estefania Izaguirre,Atlético de San Luis,3,1379
2020-2021,Clausura,54,Miriam Castillo,Guadalajara,2,1371
2020-2021,Clausura,55,Diana Laura Evangelista,Rayadas,2,1070
2020-2021,Clausura,56,Dania Nicole Pérez,Rayadas,2,1484
2020-2021,Clausura,57,Laura Herrera,Pumas,2,364
2020-2021,Clausura,58,Alice Fernanda Soto,Pachuca,2,244
2020-2021,Clausura,59,Andrea Balcazar,Pachuca,2,502
2020-2021,Clausura,60,Mónica Rose Alvarado,Pachuca,2,1038
2020-2021,Clausura,61,Karen Alejandra Díaz,Pachuca,2,1500
2020-2021,Clausura,62,Destinney Rosalía Duron,Toluca,2,909
2020-2021,Clausura,63,Zaira Carolina Miranda,Toluca,2,1136
2020-2021,Clausura,64,Yamanic Nahomi Martínez,Toluca,2,1530
2020-2021,Clausura,65,Daniela Frank Flores,América,2,824
2020-2021,Clausura,66,Karime Abud,Cruz Azul,2,885
2020-2021,Clausura,67,Susana Romero,Cruz Azul,2,1053
2020-2021,Clausura,68,Rebeca Villuendas,Cruz Azul,2,1432
2020-2021,Clausura,69,Paola González,Cruz Azul,2,1530
2020-2021,Clausura,70,Olga Anahí Trasviña,Santos Laguna,2,520
2020-2021,Clausura,71,Joseline Andrea Hernández,Santos Laguna,2,1133
2020-2021,Clausura,72,Brenda Noemí Viramontes,Querétaro,2,566
2020-2021,Clausura,73,Fátima Servín,Querétaro,2,914
2020-2021,Clausura,74,Liliana Hernández,Mazatlán FC,2,376
2020-2021,Clausura,75,Claudia Fernanda Cid,León,2,563
2020-2021,Clausura,76,Saira Cecilia López,Necaxa,2,731
2020-2021,Clausura,77,Ibeth López,Puebla,2,364
2020-2021,Clausura,78,Mariana Ramos,Puebla,2,773
2020-2021,Clausura,79,María José López,Puebla,2,1530
2020-2021,Clausura,80,Silvia Elicerio,FC Juárez,2,971
2020-2021,Clausura,81,Miah Alexia Zuazua,FC Juárez,2,1240
2020-2021,Clausura,82,Celeste Alejandra Vidal,FC Juárez,2,1404
2020-2021,Clausura,83,Gabriela Rocío Álvarez,FC Juárez,2,1485
2020-2021,Clausura,84,Kimberly Karina Reséndiz,Atlético de San Luis,2,915
2020-2021,Clausura,85,María Fernanda Elizondo,Tigres,1,261
2020-2021,Clausura,86,Nancy Guadalupe Antonio,Tigres,1,1270
2020-2021,Clausura,87,Greta Alejandra Espinoza,Tigres,1,1428
2020-2021,Clausura,88,Liliana Mercado,Tigres,1,1440
2020-2021,Clausura,89,Diana Jaqueline Rodríguez,Guadalajara,1,1411
2020-2021,Clausura,90,Damaris Michel Godínez,Guadalajara,1,1508
2020-2021,Clausura,91,Alexa Daniela Curiel,Atlas,1,182
2020-2021,Clausura,92,Valeria Razo,Atlas,1,439
2020-2021,Clausura,93,Karen Andrea García,Atlas,1,1338
2020-2021,Clausura,94,María Fernanda Daniela Pérez,Atlas,1,1355
2020-2021,Clausura,95,Vanessa González,Atlas,1,1369
2020-2021,Clausura,96,Yamile Azenek Franco,Rayadas,1,381
2020-2021,Clausura,97,Mónica Irina Flores,Rayadas,1,795
2020-2021,Clausura,98,Rebeca Bernal,Rayadas,1,1516
2020-2021,Clausura,99,Patricia De María Jardón,Pumas,1,132
2020-2021,Clausura,100,Jaquelín García,Pumas,1,348
2020-2021,Clausura,101,Paola Chavero,Pumas,1,584
2020-2021,Clausura,102,Marylin Viridiana Díaz,Pumas,1,646
2020-2021,Clausura,103,Liliana Rodríguez,Pumas,1,985
2020-2021,Clausura,104,Dania Belén Padilla,Pumas,1,1338
2020-2021,Clausura,105,Dirce Delgado,Pumas,1,1503
2020-2021,Clausura,106,Ana Paola López,Pachuca,1,788
2020-2021,Clausura,107,Lizbeth Ángeles,Pachuca,1,1443
2020-2021,Clausura,108,Diana Michelle Guatemala,Toluca,1,143
2020-2021,Clausura,109,Karen Becerril,Toluca,1,807
2020-2021,Clausura,110,Karla Lorena Martínez,Toluca,1,954
2020-2021,Clausura,111,María Fernanda Piña,América,1,232
2020-2021,Clausura,112,Jana Alexandra Gutiérrez,América,1,856
2020-2021,Clausura,113,Itzel Cruz,Cruz Azul,1,546
2020-2021,Clausura,114,Martha Natalia Enciso,Cruz Azul,1,832
2020-2021,Clausura,115,Ana Gabriela Huerta,Cruz Azul,1,908
2020-2021,Clausura,116,Daniela Janet Monroy,Cruz Azul,1,1295
2020-2021,Clausura,117,Esmeralda Guadalupe Zamarron,Santos Laguna,1,239
2020-2021,Clausura,118,Isela Guadalupe Ojeda,Santos Laguna,1,667
2020-2021,Clausura,119,Karym Iturbe,Querétaro,1,479
2020-2021,Clausura,120,Daniela Sánchez,Querétaro,1,864
2020-2021,Clausura,121,Mayra Alejandra Santana,Querétaro,1,1169
2020-2021,Clausura,122,Jazmín Enrigue,Querétaro,1,1395
2020-2021,Clausura,123,Alondra Karime Camargo,Querétaro,1,1530
2020-2021,Clausura,124,Nancy Zaragoza,Tijuana,1,383
2020-2021,Clausura,125,Dulce Maria Alvarado,Tijuana,1,1200
2020-2021,Clausura,126,Alma Verania López,Mazatlán FC,1,540
2020-2021,Clausura,127,Janae Chantell González,Mazatlán FC,1,1087
2020-2021,Clausura,128,Dalia Nailea Vidrio,León,1,622
2020-2021,Clausura,129,Lucero Ximena Cuevas,León,1,723
2020-2021,Clausura,130,Paulina Gómez,León,1,887
2020-2021,Clausura,131,Joselyn De La Rosa,León,1,1314
2020-2021,Clausura,132,Sanjuana De Jesús Muñoz,León,1,1412
2020-2021,Clausura,133,María José Acosta,Necaxa,1,376
2020-2021,Clausura,134,Iraida Guadalupe Fernández,Necaxa,1,407
2020-2021,Clausura,135,Reyna Sabina Velázquez,Necaxa,1,661
2020-2021,Clausura,136,Brianda Escobedo,Necaxa,1,1081
2020-2021,Clausura,137,Fanny Lizeth Grano,Necaxa,1,1260
2020-2021,Clausura,138,Dayana Joselyn Cazares,Puebla,1,246
2020-2021,Clausura,139,Jessica Arely Vázquez,FC Juárez,1,914
2020-2021,Clausura,140,Daniela Auza,FC Juárez,1,1047
2020-2021,Clausura,141,Karen Pamela Loya,FC Juárez,1,1312
2020-2021,Clausura,142,Paola Elizabeth Urbieta,Atlético de San Luis,1,1203
2020-2021,Clausura,143,Andrea América Ibarra,Atlético de San Luis,1,1206
2020-2021,Clausura,144,Citlali Guadalupe Hernández,Atlético de San Luis,1,1215
2020-2021,Clausura,145,Edith Deyanira Carmona,Atlético de San Luis,1,1414
