Temporada,Torneo,Pos,Jugador,Club,G,MJ
2018-2019,Clausura,32,Abigail De Jesús,Lobos BUAP,4,1166
2018-2019,Clausura,33,Liliana Hernández,Veracruz,4,1185
2018-2019,Clausura,34,Andrea Hernández,Toluca,4,1170
2018-2019,Clausura,35,Rebeca Bernal,Rayadas,3,1170
2018-2019,Clausura,36,Liliana Rodríguez,Tigres,3,156
2018-2019,Clausura,37,Yanin Madrid,Pachuca,3,625
2018-2019,Clausura,38,Esbeydi Viridiana Salazar,Pachuca,3,708
2018-2019,Clausura,39,Ana Rosa García,Atlas,3,569
2018-2019,Clausura,40,Adriana Iturbide,Atlas,3,804
2018-2019,Clausura,41,Damaris Michel Godínez,Puebla,3,1368
2018-2019,Clausura,42,María José López,Puebla,3,1400
2018-2019,Clausura,43,Michelle Alejandra Vargas,León,3,514
2018-2019,Clausura,44,Selene Itzel Valera,León,3,1440
2018-2019,Clausura,45,Ana Gabriela Huerta,Guadalajara,3,518
2018-2019,Clausura,46,Kristal Rubi Soto,Guadalajara,3,931
2018-2019,Clausura,47,Estefany Elizabeth Hernández,Pumas,3,908
2018-2019,Clausura,48,Estela Gómez,M. Morelia,3,1020
2018-2019,Clausura,49,María Guadalupe Cruzaley,M. Morelia,3,1350
2018-2019,Clausura,50,Sharon Andrea Barba,Cruz Azul,3,1024
2018-2019,Clausura,51,Valeria Abigail Barajas,Tijuana,3,1175
2018-2019,Clausura,52,Alejandra Zoe Tapia,Querétaro,3,854
2018-2019,Clausura,53,Elisa Paola Espino,Querétaro,3,1044
2018-2019,Clausura,54,Diana Laura Evangelista,Rayadas,2,308
2018-2019,Clausura,55,Norali Armenta,Rayadas,2,582
2018-2019,Clausura,56,Mariana Cadena,Rayadas,2,1268
2018-2019,Clausura,57,Selena Carolina Castillo,Rayadas,2,1440
2018-2019,Clausura,58,Dorian Montserrat Hernández,América,2,389
2018-2019,Clausura,59,Dayana Joselyn Cazares,América,2,672
2018-2019,Clausura,60,Betzy Casandra Cuevas,América,2,1183
2018-2019,Clausura,61,Lydia Nayeli Rangel,Tigres,2,419
2018-2019,Clausura,62,Nancy Guadalupe Antonio,Tigres,2,740
2018-2019,Clausura,63,Evelyn Teresa González,Tigres,2,1184
2018-2019,Clausura,64,Diana Izbeth Fierro,Pachuca,2,1033
2018-2019,Clausura,65,Alejandra Franco,Atlas,2,1260
2018-2019,Clausura,66,María Fernanda Daniela Pérez,Atlas,2,1440
2018-2019,Clausura,67,Perla Rocío Navarrete,León,2,1070
2018-2019,Clausura,68,Miriam Castillo,Guadalajara,2,1440
2018-2019,Clausura,69,Flor Rocío Rodríguez,Lobos BUAP,2,282
2018-2019,Clausura,70,María Lourdes Ramírez,Lobos BUAP,2,1352
2018-2019,Clausura,71,Yahaira Esmeralda Flores,Santos Laguna,2,728
2018-2019,Clausura,72,Brenda Nayeli Carvajal,Toluca,2,806
2018-2019,Clausura,73,Mariel Román,Toluca,2,869
2018-2019,Clausura,74,Alejandra Calderón,M. Morelia,2,668
2018-2019,Clausura,75,María Guadalupe Ruíz,M. Morelia,2,1171
2018-2019,Clausura,76,Ximena Mendoza,Cruz Azul,2,879
2018-2019,Clausura,77,Reyna Sabina Velázquez,Cruz Azul,2,1029
2018-2019,Clausura,78,Daniela Janet Monroy,Cruz Azul,2,1347
2018-2019,Clausura,79,Inglis Yoana Hernández,Tijuana,2,1425
2018-2019,Clausura,80,Libeth Paulina Castro,Necaxa,2,754
2018-2019,Clausura,81,Liliana Sánchez,Necaxa,2,1440
2018-2019,Clausura,82,Sandy Paulina Cruzado,Querétaro,2,691
2018-2019,Clausura,83,Andrea Guadalupe Romero,Querétaro,2,876
2018-2019,Clausura,84,Melissa Leilani Arredondo,Querétaro,2,1070
2018-2019,Clausura,85,Pamela Andrea Verdirame,Rayadas,1,118
2018-2019,Clausura,86,Gabriela Rocío Álvarez,Rayadas,1,438
2018-2019,Clausura,87,Hilary Margarita García,Rayadas,1,695
2018-2019,Clausura,88,Valeria Valdez,Rayadas,1,1101
2018-2019,Clausura,89,Alejandra Guadalupe Curiel,América,1,77
2018-2019,Clausura,90,Alondra González,América,1,155
2018-2019,Clausura,91,Ximena Elizabeth Rios,América,1,880
2018-2019,Clausura,92,Estefanía Fuentes,América,1,979
2018-2019,Clausura,93,Vanessa González,Tigres,1,47
2018-2019,Clausura,94,Blanca María Solís,Tigres,1,221
2018-2019,Clausura,95,María Fernanda Elizondo,Tigres,1,563
2018-2019,Clausura,96,Jazmín Enrigue,Tigres,1,845
2018-2019,Clausura,97,Greta Alejandra Espinoza,Tigres,1,1305
2018-2019,Clausura,98,Karen Alejandra Díaz,Pachuca,1,759
2018-2019,Clausura,99,Karen Itzayana Gómez,Pachuca,1,1040
2018-2019,Clausura,100,Valeria Razo,Atlas,1,120
2018-2019,Clausura,101,Ana Anayeli Rodríguez,Atlas,1,663
2018-2019,Clausura,102,Zellyka Guadalupe Arce,Atlas,1,1361
2018-2019,Clausura,103,Mariam Nataly Castro,Puebla,1,977
2018-2019,Clausura,104,Guillermina Martínez,Puebla,1,1116
2018-2019,Clausura,105,Perla Cristina Morones,León,1,142
2018-2019,Clausura,106,Dariana Rubio,León,1,684
2018-2019,Clausura,107,Karla Daniela Zempoalteca,León,1,1241
2018-2019,Clausura,108,Priscila Guadalupe Padilla,Guadalajara,1,1260
2018-2019,Clausura,109,Arlett Tovar,Guadalajara,1,1273
2018-2019,Clausura,110,Tania Paola Morales,Guadalajara,1,1289
2018-2019,Clausura,111,Hireri Velázquez,Pumas,1,428
2018-2019,Clausura,112,Paola Chavero,Pumas,1,726
2018-2019,Clausura,113,Patricia De María Jardón,Pumas,1,854
2018-2019,Clausura,114,Lucia Rodríguez,Pumas,1,1134
2018-2019,Clausura,115,Dania Belén Padilla,Pumas,1,1188
2018-2019,Clausura,116,Ricla Rajunov,Pumas,1,1193
2018-2019,Clausura,117,Dayán Vianey Fuentes,Lobos BUAP,1,680
2018-2019,Clausura,118,Itzia Tenahua,Lobos BUAP,1,1236
2018-2019,Clausura,119,Dulce Eileen Martínez,Lobos BUAP,1,1421
2018-2019,Clausura,120,Claudia Fernanda Cid,Lobos BUAP,1,1440
2018-2019,Clausura,121,Linda Lizbeth Valdéz,Santos Laguna,1,661
2018-2019,Clausura,122,Karla Lorena Martínez,Santos Laguna,1,780
2018-2019,Clausura,123,Alexxandra Ramírez,Santos Laguna,1,900
2018-2019,Clausura,124,Nancy Lizbeth Quiñones,Santos Laguna,1,1440
2018-2019,Clausura,125,Zaira Ibeth Fortis,Veracruz,1,339
2018-2019,Clausura,126,Ixzayana Viveros,Veracruz,1,452
2018-2019,Clausura,127,Diana Sarahí Zacarías,Veracruz,1,494
2018-2019,Clausura,128,Martha Gendrón,Veracruz,1,806
2018-2019,Clausura,129,Wendy Yamileth Morales,Veracruz,1,1335
2018-2019,Clausura,130,Ingrid Hidalgo,Toluca,1,298
2018-2019,Clausura,131,Zaira Carolina Miranda,Toluca,1,932
2018-2019,Clausura,132,Karen Becerril,Toluca,1,934
2018-2019,Clausura,133,Dirce Delgado,Toluca,1,962
2018-2019,Clausura,134,María Natalia Mauleon,Toluca,1,1047
2018-2019,Clausura,135,Kenya Téllez,Toluca,1,1208
2018-2019,Clausura,136,Lizette Montserrat Rodríguez,M. Morelia,1,460
2018-2019,Clausura,137,Isamar Toledo,M. Morelia,1,488
2018-2019,Clausura,138,Nadia Enira Barriga,M. Morelia,1,516
2018-2019,Clausura,139,Diana Michelle Guatemala,M. Morelia,1,1154
2018-2019,Clausura,140,Karen Gutierrez,Cruz Azul,1,57
2018-2019,Clausura,141,Daniela Osorio,Cruz Azul,1,238
2018-2019,Clausura,142,Martha Natalia Enciso,Cruz Azul,1,1162
2018-2019,Clausura,143,Itzel Cruz,Cruz Azul,1,1411
2018-2019,Clausura,144,Patricia Ameyalli Gutiérrez,Tijuana,1,736
2018-2019,Clausura,145,Magdalena Carolina Zepeda,Tijuana,1,942
2018-2019,Clausura,146,Alondra Karime Camargo,Tijuana,1,1197
2018-2019,Clausura,147,Sheila Odeth Pulido,Tijuana,1,1262
2018-2019,Clausura,148,Karen Miroslava Maprigat,Tijuana,1,1376
2018-2019,Clausura,149,Vyaney Alejandra Zorrilla,Necaxa,1,302
2018-2019,Clausura,150,Claudia Magdalena Sánchez,Necaxa,1,653
2018-2019,Clausura,151,Brianda Escobedo,Necaxa,1,656
2018-2019,Clausura,152,Nohely Deneb Enriquez,Necaxa,1,757
2018-2019,Clausura,153,Alejandra Zaragoza,Necaxa,1,867
2018-2019,Clausura,154,Luz María Ruíz,Querétaro,1,422
2018-2019,Clausura,155,Fátima Servín,Querétaro,1,507
2018-2019,Clausura,156,Sofia Alvarez,Querétaro,1,746
2018-2019,Clausura,157,Rebeca Villuendas,Querétaro,1,957
2018-2019,Clausura,158,Karen Elizabeth Hernández,Querétaro,1,1027
