Temporada,Torneo,Pos,Jugador,Club,G,MJ
2020-2021,Apertura,90,Zellyka Guadalupe Arce,Atlas,1,925
2020-2021,Apertura,91,María Fernanda Daniela Pérez,Atlas,1,1503
2020-2021,Apertura,92,Diana Laura Evangelista,Rayadas,1,1054
2020-2021,Apertura,93,Yashira Yuleth Barrientos,Guadalajara,1,230
2020-2021,Apertura,94,Anette Natalia Vázquez,Guadalajara,1,253
2020-2021,Apertura,95,Victoria Lizbeth Acevedo,Guadalajara,1,306
2020-2021,Apertura,96,María Andrea Sánchez,Guadalajara,1,992
2020-2021,Apertura,97,Michelle González,Guadalajara,1,1482
2020-2021,Apertura,98,Miriam Vanessa García,Guadalajara,1,1485
2020-2021,Apertura,99,Zaira Moreno,América,1,118
2020-2021,Apertura,100,Janae Chantell González,América,1,276
2020-2021,Apertura,101,Jennifer Justine Muñoz,América,1,392
2020-2021,Apertura,102,Verónica Raquel Pérez,América,1,697
2020-2021,Apertura,103,Eva Beatriz González,América,1,723
2020-2021,Apertura,104,Jana Alexandra Gutiérrez,América,1,959
2020-2021,Apertura,105,Ana Gabriela Lozada,América,1,1023
2020-2021,Apertura,106,Jocelyn Marie Orejel,América,1,1228
2020-2021,Apertura,107,Hireri Velázquez,Pumas,1,95
2020-2021,Apertura,108,Laura Herrera,Pumas,1,662
2020-2021,Apertura,109,Dirce Delgado,Pumas,1,757
2020-2021,Apertura,110,Maritza Dardane Maldonado,Querétaro,1,774
2020-2021,Apertura,111,Sofia Alvarez,Querétaro,1,795
2020-2021,Apertura,112,Jazmín Enrigue,Querétaro,1,906
2020-2021,Apertura,113,Valeria Aurora Miranda,Querétaro,1,1035
2020-2021,Apertura,114,Fátima Servín,Querétaro,1,1096
2020-2021,Apertura,115,Alondra Karime Camargo,Querétaro,1,1530
2020-2021,Apertura,116,Mónica Ocampo,Pachuca,1,76
2020-2021,Apertura,117,Berenice Muñoz,Pachuca,1,311
2020-2021,Apertura,118,Lourdes Sofía Martínez,Pachuca,1,384
2020-2021,Apertura,119,Yanin Madrid,Pachuca,1,472
2020-2021,Apertura,120,Karla Yolanda Jiménez,Pachuca,1,503
2020-2021,Apertura,121,Fátima Monserrat Arellano,Pachuca,1,964
2020-2021,Apertura,122,Mónica Rose Alvarado,Pachuca,1,1305
2020-2021,Apertura,123,Diana Paola Monroy,Pachuca,1,1386
2020-2021,Apertura,124,Esmeralda Guadalupe Zamarron,Santos Laguna,1,394
2020-2021,Apertura,125,Lucero Lara,Santos Laguna,1,1208
2020-2021,Apertura,126,Daniela Delgado,Santos Laguna,1,1476
2020-2021,Apertura,127,Valeria Lagunes,Mazatlán FC,1,288
2020-2021,Apertura,128,Yahaira Esmeralda Flores,Mazatlán FC,1,301
2020-2021,Apertura,129,Melissa Leilani Arredondo,Mazatlán FC,1,882
2020-2021,Apertura,130,Magaly Cortés,Mazatlán FC,1,930
2020-2021,Apertura,131,Michell Cecilia Guerrero,Mazatlán FC,1,1170
2020-2021,Apertura,132,Casandra Montero,Mazatlán FC,1,1484
2020-2021,Apertura,133,Paola Andrea Montoya,Atlético de San Luis,1,337
2020-2021,Apertura,134,Karen Melina Vázquez,Atlético de San Luis,1,1380
2020-2021,Apertura,135,Paola Elizabeth Urbieta,Atlético de San Luis,1,1530
2020-2021,Apertura,136,Alejandra Zoe Tapia,Puebla,1,412
2020-2021,Apertura,137,Emily Misdiel González,Puebla,1,443
2020-2021,Apertura,138,Lía Betsabé Morán,Puebla,1,1091
2020-2021,Apertura,139,Teresa Guadalupe Worbis,Puebla,1,1273
2020-2021,Apertura,140,Mariam Nataly Castro,Puebla,1,1407
2020-2021,Apertura,141,Diana Elizabeth Anguiano,Puebla,1,1522
2020-2021,Apertura,142,Brenda Esmeralda Díaz,León,1,158
2020-2021,Apertura,143,Dalia Nailea Vidrio,León,1,366
2020-2021,Apertura,144,Claudia Fernanda Cid,León,1,1024
2020-2021,Apertura,145,Joselyn De La Rosa,León,1,1056
2020-2021,Apertura,146,Esmeralda Verdugo,León,1,1334
2020-2021,Apertura,147,Sonia Vázquez,León,1,1434
2020-2021,Apertura,148,Martha Natalia Enciso,Cruz Azul,1,544
2020-2021,Apertura,149,Alejandra Guadalupe Curiel,Cruz Azul,1,624
2020-2021,Apertura,150,Elisa Paola Espino,Cruz Azul,1,807
2020-2021,Apertura,151,Brenda León,Cruz Azul,1,1165
2020-2021,Apertura,152,Paola González,Cruz Azul,1,1167
2020-2021,Apertura,153,Marylin Viridiana Díaz,Cruz Azul,1,1530
2020-2021,Apertura,154,Brenda Nayeli Carvajal,Toluca,1,342
2020-2021,Apertura,155,Karen Becerril,Toluca,1,533
2020-2021,Apertura,156,Destinney Rosalía Duron,Toluca,1,657
2020-2021,Apertura,157,Yamanic Nahomi Martínez,Toluca,1,796
2020-2021,Apertura,158,Karla Lorena Martínez,Toluca,1,1437
2020-2021,Apertura,159,Noemí Granados,Toluca,1,1530
2020-2021,Apertura,160,Isabel Cristina Fonseca,Tijuana,1,413
2020-2021,Apertura,161,Sheila Odeth Pulido,Tijuana,1,872
2020-2021,Apertura,162,Nancy Zaragoza,Tijuana,1,948
2020-2021,Apertura,163,Jazmin Cristal Aguas,Tijuana,1,961
2020-2021,Apertura,164,Samantha Arellano,Tijuana,1,1078
2020-2021,Apertura,165,Karen Elizabeth Hernández,Tijuana,1,1251
2020-2021,Apertura,166,Yadira Toraya,Tijuana,1,1402
2020-2021,Apertura,167,Celeste Alejandra Vidal,FC Juárez,1,880
2020-2021,Apertura,168,Melissa Aideé Sosa,FC Juárez,1,989
2020-2021,Apertura,169,Saira Cecilia López,Necaxa,1,1147
2020-2021,Apertura,170,Libeth Paulina Castro,Necaxa,1,1239
2020-2021,Apertura,171,Brianda Escobedo,Necaxa,1,1265
