Temporada,Torneo,Pos,Jugador,Club,G,MJ
2023-2024,Apertura,95,Trudi Sudan Carter,Atlético de San Luis,2,696
2023-2024,Apertura,96,Silvana González,Atlético de San Luis,2,919
2023-2024,Apertura,97,Jaquelín García,Atlético de San Luis,2,1449
2023-2024,Apertura,98,Dayán Vianey Fuentes,Necaxa,2,1404
2023-2024,Apertura,99,Juelle Ciani Love,Santos Laguna,2,579
2023-2024,Apertura,100,Lia Mariel Romero,Santos Laguna,2,1240
2023-2024,Apertura,101,Alejandra Guadalupe Curiel,Mazatlán FC,2,471
2023-2024,Apertura,102,Samantha López,Mazatlán FC,2,1066
2023-2024,Apertura,103,Konya Tajae Plummer,Tigres,1,158
2023-2024,Apertura,104,Liliana Mercado,Tigres,1,375
2023-2024,Apertura,105,Nancy Guadalupe Antonio,Tigres,1,1089
2023-2024,Apertura,106,Anika Elia Rodríguez,Tigres,1,1168
2023-2024,Apertura,107,Noemí Granados,América,1,184
2023-2024,Apertura,108,Miah Alexia Zuazua,América,1,275
2023-2024,Apertura,109,Angelique Montserrat Saldivar,América,1,389
2023-2024,Apertura,110,Karina Anais Rodríguez,América,1,999
2023-2024,Apertura,111,María Fernanda López,Guadalajara,1,12
2023-2024,Apertura,112,Cynthia Vanessa González,Guadalajara,1,36
2023-2024,Apertura,113,Dorian Montserrat Hernández,Guadalajara,1,416
2023-2024,Apertura,114,Damaris Michel Godínez,Guadalajara,1,1238
2023-2024,Apertura,115,Karla Lorena Martínez,Guadalajara,1,1299
2023-2024,Apertura,116,Karol Esthefany Bernal,Rayadas,1,358
2023-2024,Apertura,117,Yamile Azenek Franco,Rayadas,1,711
2023-2024,Apertura,118,Yadira Toraya,Tijuana,1,162
2023-2024,Apertura,119,Paola Del Carmen Villamizar,Tijuana,1,596
2023-2024,Apertura,120,Joselyn De La Rosa,Tijuana,1,1348
2023-2024,Apertura,121,Destinney Rosalía Duron,Toluca,1,286
2023-2024,Apertura,122,Vanessa Maria Penuna,Toluca,1,823
2023-2024,Apertura,123,Patricia De María Jardón,Toluca,1,1265
2023-2024,Apertura,124,Giselle Espinoza,Pachuca,1,172
2023-2024,Apertura,125,Karla Paola Nieto,Pachuca,1,1346
2023-2024,Apertura,126,Karen Alejandra Díaz,Pachuca,1,1484
2023-2024,Apertura,127,Dinora Lizeth Garza,Pumas,1,860
2023-2024,Apertura,128,Ana Mendoza,Pumas,1,1368
2023-2024,Apertura,129,Fátima Monserrat Arellano,FC Juárez,1,98
2023-2024,Apertura,130,Yenifer Britany García,FC Juárez,1,260
2023-2024,Apertura,131,Julitha Aminiel Tamuwai Singano,FC Juárez,1,567
2023-2024,Apertura,132,Blanca María Solís,FC Juárez,1,587
2023-2024,Apertura,133,Miriam Castillo,FC Juárez,1,1370
2023-2024,Apertura,134,Sophia Wais Braun,León,1,842
2023-2024,Apertura,135,Lizbeth Ángeles,León,1,1376
2023-2024,Apertura,136,Isabela Esquivias,León,1,1422
2023-2024,Apertura,137,Linda Ruth Bravo,León,1,1432
2023-2024,Apertura,138,Leslie Stephanie Ramírez,Cruz Azul,1,29
2023-2024,Apertura,139,Martha Natalia Enciso,Cruz Azul,1,55
2023-2024,Apertura,140,Ximena Elizabeth Rios,Cruz Azul,1,431
2023-2024,Apertura,141,Renata Fernanda Huerta,Cruz Azul,1,742
2023-2024,Apertura,142,Ana Rosa García,Cruz Azul,1,832
2023-2024,Apertura,143,Daniela Frank Flores,Cruz Azul,1,882
2023-2024,Apertura,144,Edith Deyanira Carmona,Cruz Azul,1,1193
2023-2024,Apertura,145,María Alejandra Peraza,Cruz Azul,1,1302
2023-2024,Apertura,146,Daniela Janet Monroy,Cruz Azul,1,1453
2023-2024,Apertura,147,Stephanie Marie Zuniga,Querétaro,1,124
2023-2024,Apertura,148,Dulce Maria Alvarado,Querétaro,1,396
2023-2024,Apertura,149,Leidy Lizeth Ramos,Querétaro,1,1266
2023-2024,Apertura,150,Claudia Gabriela Anguiano,Querétaro,1,1298
2023-2024,Apertura,151,Lía Betsabé Morán,Querétaro,1,1468
2023-2024,Apertura,152,Alejandra Lomelí,Atlas,1,1310
2023-2024,Apertura,153,Maritza Dardane Maldonado,Atlas,1,1418
2023-2024,Apertura,154,Karla Daniela Zempoalteca,Atlas,1,1437
2023-2024,Apertura,155,Itzia Tenahua,Puebla,1,198
2023-2024,Apertura,156,Norma Priscila Gaitan,Puebla,1,361
2023-2024,Apertura,157,Camila Fonseca,Puebla,1,681
2023-2024,Apertura,158,Isabel Kasis,Atlético de San Luis,1,142
2023-2024,Apertura,159,Cristel Sabrina Sandi,Atlético de San Luis,1,176
2023-2024,Apertura,160,Mayra Alejandra Santana,Atlético de San Luis,1,758
2023-2024,Apertura,161,Laura Montserrat Parra,Atlético de San Luis,1,1339
2023-2024,Apertura,162,Daniela Carrandi,Atlético de San Luis,1,1346
2023-2024,Apertura,163,Zellyka Guadalupe Arce,Atlético de San Luis,1,1409
2023-2024,Apertura,164,Izabelle Astrid Hernandez,Necaxa,1,354
2023-2024,Apertura,165,Danielle Marie Fuentes,Necaxa,1,1085
2023-2024,Apertura,166,Karen Jissel Reyes,Necaxa,1,1232
2023-2024,Apertura,167,Karen Lucía De León,Necaxa,1,1313
2023-2024,Apertura,168,Lucia Muñoz,Necaxa,1,1481
2023-2024,Apertura,169,Daniela Itzaxaya García,Santos Laguna,1,615
2023-2024,Apertura,170,Luisa Fernanda De Alba,Santos Laguna,1,842
2023-2024,Apertura,171,María Cristina Montaño,Mazatlán FC,1,516
2023-2024,Apertura,172,Yuliana Marlene Mora,Mazatlán FC,1,600
2023-2024,Apertura,173,María Magalí Del Verdún Cuadrado,Mazatlán FC,1,620
2023-2024,Apertura,174,Venicia Gabriela Juárez,Mazatlán FC,1,908
