Temporada,Torneo,Pos,Jugador,Club,G,MJ
2024-2025,Apertura,128,Eva Beatriz González,FC Juárez,1,353
2024-2025,Apertura,129,Amalia Phoebe López,Guadalajara,1,102
2024-2025,Apertura,130,Kristal Rubi Soto,Guadalajara,1,232
2024-2025,Apertura,131,Yamile Azenek Franco,Guadalajara,1,424
2024-2025,Apertura,132,Angélica Araceli Torres,Guadalajara,1,1163
2024-2025,Apertura,133,Diana Jaqueline Rodríguez,Guadalajara,1,1318
2024-2025,Apertura,134,Camila Vite,Pumas,1,114
2024-2025,Apertura,135,Dania Belén Padilla,Pumas,1,989
2024-2025,Apertura,136,Karen Becerril,Pumas,1,1038
2024-2025,Apertura,137,Carina Felipe,Pumas,1,1332
2024-2025,Apertura,138,Paola Chavero,Pumas,1,1350
2024-2025,Apertura,139,Celia Chainez Bensalem,Toluca,1,336
2024-2025,Apertura,140,Liliana Rodríguez,Toluca,1,627
2024-2025,Apertura,141,Diana Paola Monroy,Toluca,1,796
2024-2025,Apertura,142,Brenda Vega,Toluca,1,1038
2024-2025,Apertura,143,Mitsy Nayelli Ramirez,Toluca,1,1228
2024-2025,Apertura,144,Claudia Fernanda Cid,Tijuana,1,127
2024-2025,Apertura,145,Iraida Guadalupe Fernández,Tijuana,1,223
2024-2025,Apertura,146,Nathaly Sofía Martínez,Tijuana,1,452
2024-2025,Apertura,147,Fabiola Villalobos,Tijuana,1,467
2024-2025,Apertura,148,Andrea González,Tijuana,1,548
2024-2025,Apertura,149,Ammanda Mariee Marroquin,Tijuana,1,1100
2024-2025,Apertura,150,Bibiana Guadalupe Quintos,Tijuana,1,1153
2024-2025,Apertura,151,Daphne Melissa Herrera,Tijuana,1,1249
2024-2025,Apertura,152,Victoria Sarahí Ceceña,Querétaro,1,383
2024-2025,Apertura,153,Alejandra Lomelí,Atlas,1,563
2024-2025,Apertura,154,Jaquelín García,Atlas,1,1330
2024-2025,Apertura,155,Vivian Obianujuwan Ikechukwu,Cruz Azul,1,577
2024-2025,Apertura,156,Julissa Fernanda Dávila,Cruz Azul,1,760
2024-2025,Apertura,157,Ivonne Gutiérrez,Cruz Azul,1,926
2024-2025,Apertura,158,Itzell Alemán,León,1,370
2024-2025,Apertura,159,Sanjuana De Jesús Muñoz,León,1,568
2024-2025,Apertura,160,Vanessa Guadalupe López,León,1,862
2024-2025,Apertura,161,Yanin Madrid,León,1,895
2024-2025,Apertura,162,Joana Robles,Atlético de San Luis,1,834
2024-2025,Apertura,163,Laura Montserrat Parra,Atlético de San Luis,1,1353
2024-2025,Apertura,164,Farlyn Fernanda Caicedo,Atlético de San Luis,1,1420
2024-2025,Apertura,165,Sinoxolo Cesane,Mazatlán FC,1,1098
2024-2025,Apertura,166,Gabriela Rocío Álvarez,Mazatlán FC,1,1205
2024-2025,Apertura,167,Brenda Judith García,Mazatlán FC,1,1440
2024-2025,Apertura,168,Joselyn Solís,Puebla,1,94
2024-2025,Apertura,169,Vania Itzel Moron,Puebla,1,135
2024-2025,Apertura,170,Venicia Gabriela Juárez,Puebla,1,198
2024-2025,Apertura,171,Dulce María Méndez,Puebla,1,208
2024-2025,Apertura,172,Liliana Fernández,Puebla,1,222
2024-2025,Apertura,173,Anna Jane Loftus,Puebla,1,662
2024-2025,Apertura,174,Luisa Fernanda De Alba,Puebla,1,796
2024-2025,Apertura,175,Ahtziri Méndez,Puebla,1,833
2024-2025,Apertura,176,Rubí Iridian Villegas,Puebla,1,1305
2024-2025,Apertura,177,María Magalí Del Verdún Cuadrado,Santos Laguna,1,422
2024-2025,Apertura,178,Frida Carolina Cussin,Santos Laguna,1,574
2024-2025,Apertura,179,Lia Mariel Romero,Santos Laguna,1,588
2024-2025,Apertura,180,Yessenia Esmeralda Novella,Santos Laguna,1,904
2024-2025,Apertura,181,Michel Anahy Ruiz,Santos Laguna,1,1037
2024-2025,Apertura,182,Havi Larisa Ibarra,Santos Laguna,1,1409
2024-2025,Apertura,183,Quetzali Jahoumara Barranco,Necaxa,1,581
2024-2025,Apertura,184,Athziri Guadalupe Alonso,Necaxa,1,817
