Temporada,Torneo,Pos,Jugador,Club,G,MJ
2023-2024,Clausura,98,Alejandra Guadalupe Curiel,Mazatlán FC,2,553
2023-2024,Clausura,99,Karen Jissel Reyes,Necaxa,2,670
2023-2024,Clausura,100,Iraida Guadalupe Fernández,Necaxa,2,1436
2023-2024,Clausura,101,Meghan Lee Cavanaugh,Cruz Azul,2,663
2023-2024,Clausura,102,Isabel Kasis,Atlético de San Luis,2,906
2023-2024,Clausura,103,Farlyn Fernanda Caicedo,Atlético de San Luis,2,1195
2023-2024,Clausura,104,Nancy Guadalupe Antonio,Tigres,1,394
2023-2024,Clausura,105,Konya Tajae Plummer,Tigres,1,494
2023-2024,Clausura,106,Alexia Fernanda Delgado,Tigres,1,670
2023-2024,Clausura,107,Jana Alexandra Gutiérrez,Tigres,1,1201
2023-2024,Clausura,108,Ella Ryan Sanchez,Pachuca,1,31
2023-2024,Clausura,109,Maria Catalina Usme,Pachuca,1,815
2023-2024,Clausura,110,Valeria Valdez,Rayadas,1,393
2023-2024,Clausura,111,Tanna Sánchez,Rayadas,1,428
2023-2024,Clausura,112,Diana Laura Evangelista,Rayadas,1,481
2023-2024,Clausura,113,Fátima Servín,Rayadas,1,852
2023-2024,Clausura,114,Angelique Montserrat Saldivar,América,1,563
2023-2024,Clausura,115,Jocelyn Marie Orejel,América,1,634
2023-2024,Clausura,116,Kimberly Vanessa Rodríguez,América,1,699
2023-2024,Clausura,117,Betzy Casandra Cuevas,América,1,798
2023-2024,Clausura,118,Nicolette Andrea Hernández,América,1,800
2023-2024,Clausura,119,Kristal Rubi Soto,Guadalajara,1,455
2023-2024,Clausura,120,Diana Jaqueline Rodríguez,Guadalajara,1,1142
2023-2024,Clausura,121,Casandra Montero,Guadalajara,1,1352
2023-2024,Clausura,122,Sindia Anahi Arteaga,Pumas,1,16
2023-2024,Clausura,123,Kimberli Anahí Gómez,Pumas,1,141
2023-2024,Clausura,124,Irma Liceth Pinzon,Pumas,1,257
2023-2024,Clausura,125,Laura Herrera,Pumas,1,448
2023-2024,Clausura,126,Dirce Delgado,Pumas,1,1523
2023-2024,Clausura,127,Fernanda Paz Pinilla,León,1,1113
2023-2024,Clausura,128,Linda Ruth Bravo,León,1,1408
2023-2024,Clausura,129,Isabela Esquivias,León,1,1465
2023-2024,Clausura,130,Sayuri Yuki Watari,FC Juárez,1,411
2023-2024,Clausura,131,Destinney Rosalía Duron,FC Juárez,1,470
2023-2024,Clausura,132,Karime Abud,FC Juárez,1,844
2023-2024,Clausura,133,Sumiko Gutiérrez,FC Juárez,1,987
2023-2024,Clausura,134,Grace Asantewaa,FC Juárez,1,1093
2023-2024,Clausura,135,Ivanna Guadalupe Estrada,Toluca,1,49
2023-2024,Clausura,136,Liliana Rodríguez,Toluca,1,374
2023-2024,Clausura,137,Celia Chainez Bensalem,Toluca,1,459
2023-2024,Clausura,138,Natalia Inés Gómez Junco,Toluca,1,899
2023-2024,Clausura,139,Dulce Maria Alvarado,Querétaro,1,315
2023-2024,Clausura,140,Claudia Fernanda Cid,Querétaro,1,467
2023-2024,Clausura,141,Deisy Estefania Ojeda,Querétaro,1,822
2023-2024,Clausura,142,Barbrha Alejandra Figueroa,Querétaro,1,981
2023-2024,Clausura,143,Solange Lemos,Querétaro,1,1002
2023-2024,Clausura,144,Leidy Lizeth Ramos,Querétaro,1,1211
2023-2024,Clausura,145,Magaly Cortés,Querétaro,1,1245
2023-2024,Clausura,146,Victoria López,Tijuana,1,57
2023-2024,Clausura,147,Luciana Nicolé García,Tijuana,1,58
2023-2024,Clausura,148,Paola Del Carmen Villamizar,Tijuana,1,379
2023-2024,Clausura,149,Mariana Munguía,Tijuana,1,510
2023-2024,Clausura,150,Bianca Esther Mora,Tijuana,1,940
2023-2024,Clausura,151,Joselyn De La Rosa,Tijuana,1,1291
2023-2024,Clausura,152,Alexa Daniela Curiel,Atlas,1,146
2023-2024,Clausura,153,Alejandra Lomelí,Atlas,1,1388
2023-2024,Clausura,154,Ivonne Najar,Puebla,1,724
2023-2024,Clausura,155,Viridiana López,Puebla,1,885
2023-2024,Clausura,156,Andrea González,Puebla,1,1161
2023-2024,Clausura,157,Samantha López,Mazatlán FC,1,1163
2023-2024,Clausura,158,Zulma Yared Hernández,Mazatlán FC,1,1330
2023-2024,Clausura,159,Olga Anahí Trasviña,Mazatlán FC,1,1342
2023-2024,Clausura,160,Brenda Judith García,Mazatlán FC,1,1455
2023-2024,Clausura,161,Saira Cecilia López,Necaxa,1,179
2023-2024,Clausura,162,María Del Pilar Aceves,Necaxa,1,313
2023-2024,Clausura,163,María José Acosta,Necaxa,1,1222
2023-2024,Clausura,164,Itzia Tenahua,Cruz Azul,1,332
2023-2024,Clausura,165,Alejandra Guadalupe Martínez,Cruz Azul,1,1332
2023-2024,Clausura,166,Dalia Isabel Molina,Cruz Azul,1,1443
2023-2024,Clausura,167,Mallory Ann Olsson,Santos Laguna,1,604
2023-2024,Clausura,168,Celeste Guevara,Santos Laguna,1,637
2023-2024,Clausura,169,Alexia Nayeli Villanueva,Santos Laguna,1,1285
2023-2024,Clausura,170,Michel Anahy Ruiz,Santos Laguna,1,1361
2023-2024,Clausura,171,Joana Robles,Atlético de San Luis,1,414
2023-2024,Clausura,172,Mariela García,Atlético de San Luis,1,553
2023-2024,Clausura,173,Mayra Alejandra Santana,Atlético de San Luis,1,624
2023-2024,Clausura,174,Vanessa González,Atlético de San Luis,1,775
2023-2024,Clausura,175,María Fernanda Sánchez,Atlético de San Luis,1,1335
2023-2024,Clausura,176,Zellyka Guadalupe Arce,Atlético de San Luis,1,1355
2023-2024,Clausura,177,Karen Lizbeth Cano,Atlético de San Luis,1,1530
