Temporada,Torneo,Pos,Jugador,Club,G,MJ
2021-2022,Apertura,44,Natalia Macías Valadez,Pumas,3,597
2021-2022,Apertura,45,Marlyn Margoth Campa,Pumas,3,1050
2021-2022,Apertura,46,María Del Pilar Aceves,Puebla,3,567
2021-2022,Apertura,47,Estefany Elizabeth Hernández,Puebla,3,691
2021-2022,Apertura,48,Destinney Rosalía Duron,Toluca,3,347
2021-2022,Apertura,49,Diana Michelle Guatemala,Toluca,3,1196
2021-2022,Apertura,50,Emily Misdiel González,Atlético de San Luis,3,998
2021-2022,Apertura,51,Ana Karen López,Atlético de San Luis,3,1313
2021-2022,Apertura,52,Miah Alexia Zuazua,FC Juárez,3,1150
2021-2022,Apertura,53,Alejandra Guadalupe Curiel,FC Juárez,3,1262
2021-2022,Apertura,54,María Fernanda Elizondo,Tigres,2,142
2021-2022,Apertura,55,Jana Alexandra Gutiérrez,Tigres,2,890
2021-2022,Apertura,56,Lydia Nayeli Rangel,Tigres,2,993
2021-2022,Apertura,57,Greta Alejandra Espinoza,Tigres,2,1530
2021-2022,Apertura,58,Christina Marie Burkenroad,Rayadas,2,620
2021-2022,Apertura,59,Diana Laura García,Rayadas,2,1415
2021-2022,Apertura,60,Claudia Fabiola Ibarra,Atlas,2,511
2021-2022,Apertura,61,Verónica Raquel Pérez,Atlas,2,1281
2021-2022,Apertura,62,Mayra Alejandra Pelayo-bernal,América,2,419
2021-2022,Apertura,63,Dorian Montserrat Hernández,América,2,1015
2021-2022,Apertura,64,Mariela Jiménez,Santos Laguna,2,305
2021-2022,Apertura,65,Nancy Lizbeth Quiñones,Santos Laguna,2,755
2021-2022,Apertura,66,Estela Gómez,Santos Laguna,2,1270
2021-2022,Apertura,67,Dulce Maria Alvarado,Tijuana,2,925
2021-2022,Apertura,68,Brenda León,Cruz Azul,2,614
2021-2022,Apertura,69,Dalia Isabel Molina,Cruz Azul,2,1182
2021-2022,Apertura,70,Lizbeth Ángeles,Pachuca,2,885
2021-2022,Apertura,71,Laura Herrera,Pumas,2,985
2021-2022,Apertura,72,Marylin Viridiana Díaz,Pumas,2,1149
2021-2022,Apertura,73,Mariana Ramos,Puebla,2,897
2021-2022,Apertura,74,Ivonne Najar,Puebla,2,1191
2021-2022,Apertura,75,Jessica Liliana Tenorio,Puebla,2,1386
2021-2022,Apertura,76,Flor Rocío Rodríguez,Necaxa,2,888
2021-2022,Apertura,77,Reyna Sabina Velázquez,Necaxa,2,1384
2021-2022,Apertura,78,Fátima Servín,Querétaro,2,1265
2021-2022,Apertura,79,Marta Alexandra Cox Villarreal,León,2,908
2021-2022,Apertura,80,Paulina Gómez,León,2,1126
2021-2022,Apertura,81,Rebeca Villuendas,Atlético de San Luis,2,1513
2021-2022,Apertura,82,Perla Rocío Navarrete,FC Juárez,2,965
2021-2022,Apertura,83,Nancy Guadalupe Antonio,Tigres,1,874
2021-2022,Apertura,84,Liliana Mercado,Tigres,1,1252
2021-2022,Apertura,85,Daniela Lizbeth Solís,Rayadas,1,298
2021-2022,Apertura,86,Yamile Azenek Franco,Rayadas,1,671
2021-2022,Apertura,87,Mariana Cadena,Rayadas,1,1202
2021-2022,Apertura,88,Valeria Razo,Atlas,1,241
2021-2022,Apertura,89,Karen Andrea García,Atlas,1,994
2021-2022,Apertura,90,María Fernanda Daniela Pérez,Atlas,1,1048
2021-2022,Apertura,91,Atzimba Casas,Guadalajara,1,176
2021-2022,Apertura,92,Gabriela Valenzuela,Guadalajara,1,700
2021-2022,Apertura,93,Miriam Castillo,Guadalajara,1,989
2021-2022,Apertura,94,Sarah Jacquelyn Luebbert,América,1,262
2021-2022,Apertura,95,Stephanie Mariana Ribeiro,América,1,472
2021-2022,Apertura,96,María Natalia Mauleon,América,1,662
2021-2022,Apertura,97,Angelique Montserrat Saldivar,América,1,676
2021-2022,Apertura,98,Karen Irasema Luna,América,1,1383
2021-2022,Apertura,99,Olga Anahí Trasviña,Santos Laguna,1,310
2021-2022,Apertura,100,Lucero Lara,Santos Laguna,1,757
2021-2022,Apertura,101,Brenda Vanessa López,Santos Laguna,1,1263
2021-2022,Apertura,102,Esmeralda Verdugo,Tijuana,1,1098
2021-2022,Apertura,103,Joselyn De La Rosa,Tijuana,1,1182
2021-2022,Apertura,104,Sanjuana De Jesús Muñoz,Tijuana,1,1370
2021-2022,Apertura,105,Ana Gabriela Huerta,Cruz Azul,1,323
2021-2022,Apertura,106,Claudia Fernanda Cid,Cruz Azul,1,1305
2021-2022,Apertura,107,Lourdes Sofía Martínez,Pachuca,1,75
2021-2022,Apertura,108,Ana Paola López,Pachuca,1,294
2021-2022,Apertura,109,Linda Ruth Bravo,Pachuca,1,346
2021-2022,Apertura,110,Alice Fernanda Soto,Pachuca,1,472
2021-2022,Apertura,111,Karen Alejandra Díaz,Pachuca,1,973
2021-2022,Apertura,112,Mónica Ocampo,Pachuca,1,1336
2021-2022,Apertura,113,Liliana Rodríguez,Pumas,1,373
2021-2022,Apertura,114,Edna Fabiola Santamaria,Pumas,1,722
2021-2022,Apertura,115,María Akemi Yokoyama,Pumas,1,810
2021-2022,Apertura,116,Daniela Itzaxaya García,Pumas,1,829
2021-2022,Apertura,117,Deneva Cagigas,Pumas,1,1188
2021-2022,Apertura,118,Dinora Lizeth Garza,Pumas,1,1322
2021-2022,Apertura,119,Mariam Nataly Castro,Puebla,1,1076
2021-2022,Apertura,120,Mirelle Arciniega,Puebla,1,1391
2021-2022,Apertura,121,Brenda Vega,Toluca,1,317
2021-2022,Apertura,122,Mariel Román,Toluca,1,697
2021-2022,Apertura,123,Yamanic Nahomi Martínez,Toluca,1,900
2021-2022,Apertura,124,Arlett Tovar,Toluca,1,1112
2021-2022,Apertura,125,Patricia De María Jardón,Toluca,1,1199
2021-2022,Apertura,126,Karen Becerril,Toluca,1,1373
2021-2022,Apertura,127,Alejandra Guerrero,Necaxa,1,602
2021-2022,Apertura,128,Luciana Nicolé García,Necaxa,1,659
2021-2022,Apertura,129,Andrea Monserrat Martínez,Necaxa,1,1298
2021-2022,Apertura,130,María Lourdes Ramírez,Querétaro,1,385
2021-2022,Apertura,131,Mayra Alejandra Santana,Querétaro,1,386
2021-2022,Apertura,132,Daniela Sánchez,Querétaro,1,971
2021-2022,Apertura,133,Sofia Alvarez,Querétaro,1,1313
2021-2022,Apertura,134,Alondra Karime Camargo,Querétaro,1,1375
2021-2022,Apertura,135,Jazmín Enrigue,Querétaro,1,1388
2021-2022,Apertura,136,Sandra Paola Camacho,León,1,273
2021-2022,Apertura,137,Sonia Vázquez,León,1,955
2021-2022,Apertura,138,Sabrina Figueroa,León,1,1065
2021-2022,Apertura,139,Liliana Sánchez,León,1,1485
2021-2022,Apertura,140,Sharon Andrea Barba,Atlético de San Luis,1,230
2021-2022,Apertura,141,Karen Melina Vázquez,Atlético de San Luis,1,474
2021-2022,Apertura,142,Beatriz Parra,Atlético de San Luis,1,848
2021-2022,Apertura,143,Isabel Kasis,Atlético de San Luis,1,1091
2021-2022,Apertura,144,Citlali Guadalupe Hernández,Atlético de San Luis,1,1310
2021-2022,Apertura,145,Alejandra Escobedo,Mazatlán FC,1,291
2021-2022,Apertura,146,Yahaira Esmeralda Flores,Mazatlán FC,1,444
2021-2022,Apertura,147,Montserrat Peña,Mazatlán FC,1,868
2021-2022,Apertura,148,Norma Priscila Gaitan,Mazatlán FC,1,1047
2021-2022,Apertura,149,Alma Verania López,Mazatlán FC,1,1053
2021-2022,Apertura,150,Belkis Karely Escalante,Mazatlán FC,1,1176
2021-2022,Apertura,151,Kimberli Estefania Goytia,FC Juárez,1,600
2021-2022,Apertura,152,Brenda Paola Alvarado,FC Juárez,1,676
2021-2022,Apertura,153,Silvia Elicerio,FC Juárez,1,752
